direction,start_frame,end_frame,frame_length,formation
right,18800,19637,838,Unknown
right,19588,19688,101,Unknown
right,19641,19742,102,Unknown
right,19693,19743,51,Unknown
left,19743,19805,63,1-5
left,19807,20480,674,Unknown
left,20432,20880,449,Unknown
left,20831,20934,104,Unknown
left,20885,20988,104,Unknown
left,20939,21050,112,Unknown
left,21001,21105,105,Unknown
left,21056,21160,105,Unknown
left,21111,21219,109,Unknown
left,21174,21300,127,Unknown
left,21251,21301,51,Unknown
right,21301,21657,357,Unknown
right,21614,21718,105,Unknown
right,21670,21765,96,Unknown
right,21724,21790,67,Unknown
right,21777,21834,58,Unknown
right,21833,21936,104,Unknown
right,21904,22010,107,Unknown
right,21963,22057,95,Unknown
right,22015,22119,105,Unknown
right,22070,22120,51,Unknown
left,22120,22241,122,1-5
left,22243,22294,52,1-5
left,22296,22548,253,Unknown
left,22499,22601,103,Unknown
left,22552,22653,102,Unknown
left,22604,22719,116,Unknown
left,22670,22817,148,Unknown
left,22768,22903,136,Unknown
left,22854,22956,103,Unknown
left,22907,22957,51,Unknown
right,22957,23233,277,Unknown
right,23188,23285,98,Unknown
right,23240,23327,88,Unknown
right,23293,23384,92,0-6
right,23360,23465,106,Unknown
right,23455,23568,114,1-5
right,23523,23625,103,1-5
right,23576,23718,143,1-5
right,23669,23771,103,Unknown
right,23722,23822,101,1-5
right,23773,23823,51,1-5
left,23823,24134,312,1-5
left,24085,24145,61,Unknown
left,24139,24285,147,1-5
left,24287,24384,98,1-5
left,24342,24618,277,Unknown
left,24569,24656,88,Unknown
left,24620,24968,349,0-6
left,24919,24969,51,0-6
right,24969,25885,917,Unknown
right,25852,25993,142,Unknown
right,25945,26046,102,Unknown
right,25997,26090,94,Unknown
right,26076,26134,59,0-6
right,26157,26258,102,Unknown
right,26212,26316,105,Unknown
right,26267,26317,51,Unknown
left,26317,26567,251,1-5
left,26569,26683,115,Unknown
left,26634,26684,51,Unknown
right,26684,27036,353,1-5
right,26987,27037,51,1-5
left,27037,27179,143,Unknown
left,27130,27180,51,Unknown
right,27180,27316,137,Unknown
right,27268,27371,104,Unknown
right,27323,27412,90,Unknown
right,27376,27497,122,1-5
right,27449,27531,83,1-5
right,27502,27616,115,Unknown
right,27572,27673,102,Unknown
right,27628,27739,112,Unknown
right,27690,27793,104,Unknown
right,27744,27794,51,Unknown
left,27794,28097,304,Unknown
left,28048,28149,102,Unknown
left,28101,28203,103,Unknown
left,28154,28236,83,Unknown
left,28205,28319,115,Unknown
left,28270,28379,110,Unknown
left,28334,28418,85,1-5
left,28388,28441,54,1-5
left,28443,28583,141,Unknown
left,28538,28642,105,1-5
left,28593,28692,100,0-6
left,28644,28745,102,Unknown
left,28696,28805,110,Unknown
left,28756,28858,103,Unknown
left,28809,28859,51,Unknown
right,28859,29006,148,Unknown
right,28958,29057,100,Unknown
right,29011,29062,52,Unknown
right,29063,29721,659,Unknown
right,29679,29781,103,Unknown
right,29733,29834,102,Unknown
right,29785,29872,88,Unknown
right,29836,29907,72,Unknown
right,29897,30010,114,Unknown
right,29961,30105,145,Unknown
right,30056,30106,51,Unknown
left,30106,30205,100,1-5
left,30167,30235,69,1-5
left,30219,30609,391,Unknown
left,30560,30660,101,Unknown
left,30611,30712,102,Unknown
left,30663,30713,51,Unknown
right,30713,31324,612,Unknown
right,31290,31374,85,Unknown
right,31356,31455,100,Unknown
right,31432,31730,299,Unknown
right,31681,31782,102,Unknown
right,31733,31831,99,Unknown
right,31785,31879,95,1-5
right,31838,31957,120,Unknown
right,31910,32010,101,Unknown
right,31964,32064,101,Unknown
right,32018,32119,102,Unknown
right,32070,32120,51,Unknown
left,32120,32921,802,Unknown
left,32874,32980,107,Unknown
left,32931,33031,101,Unknown
left,32982,33083,102,Unknown
left,33034,33144,111,1-5
left,33095,33206,112,Unknown
left,33157,33207,51,Unknown
right,33207,33364,158,Unknown
right,33315,33419,105,Unknown
right,33370,33447,78,Unknown
right,33425,33556,132,Unknown
right,33507,33623,117,Unknown
right,33575,33687,113,Unknown
right,33638,33727,90,Unknown
right,33690,33798,109,Unknown
right,33749,33853,105,Unknown
right,33804,33854,51,Unknown
left,33854,33976,123,1-5
left,33927,34032,106,Unknown
left,33983,34101,119,Unknown
left,34052,34102,51,Unknown
right,34103,34228,126,1-5
right,34208,34279,72,Unknown
right,34262,34384,123,Unknown
right,34386,34502,117,0-6
right,34475,34531,57,1-5
right,34533,34629,97,1-5
right,34625,34746,122,1-5
right,34697,34824,128,1-5
right,34780,34869,90,1-5
right,34833,34937,105,1-5
right,34888,34954,67,1-5
right,34939,35044,106,Unknown
right,34996,35070,75,1-5
right,35068,35174,107,0-6
right,35178,35241,64,0-6
right,35243,35298,56,0-6
right,35300,35399,100,1-5
right,35367,35455,89,1-5
right,35420,35527,108,Unknown
right,35496,35605,110,Unknown
right,35562,35659,98,Unknown
right,35619,35766,148,Unknown
right,35717,35818,102,Unknown
right,35769,35872,104,Unknown
right,35823,35873,51,Unknown
left,35873,36405,533,1-5
left,36356,36406,51,1-5
right,36406,36946,541,Unknown
right,36897,36988,92,Unknown
right,36956,37229,274,Unknown
right,37186,37288,103,Unknown
right,37239,37342,104,Unknown
right,37293,37398,106,Unknown
right,37349,37442,94,Unknown
right,37402,37464,63,Unknown
right,37455,37559,105,Unknown
right,37519,37610,92,Unknown
right,37575,37667,93,1-5
right,37627,37748,122,Unknown
right,37701,37808,108,Unknown
right,37759,37809,51,Unknown
left,37809,37964,156,1-5
left,37953,38258,306,Unknown
left,38209,38315,107,Unknown
left,38266,38367,102,Unknown
left,38318,38418,101,Unknown
left,38369,38479,111,Unknown
left,38430,38530,101,Unknown
left,38482,38594,113,Unknown
left,38548,38658,111,Unknown
left,38609,38718,110,Unknown
left,38669,38719,51,Unknown
right,38719,39086,368,Unknown
right,39041,39138,98,Unknown
right,39094,39191,98,Unknown
right,39147,39233,87,Unknown
right,39201,39286,86,Unknown
right,39277,39391,115,Unknown
right,39344,39407,64,Unknown
right,39397,39500,104,Unknown
right,39452,39559,108,Unknown
right,39510,39560,51,Unknown
left,39560,39840,281,Unknown
left,39791,39933,143,Unknown
left,39887,39988,102,Unknown
left,39939,40039,101,Unknown
left,39990,40112,123,Unknown
left,40063,40153,91,Unknown
left,40115,40190,76,1-5
left,40171,40718,548,1-5
left,40669,40719,51,1-5
right,40719,40916,198,Unknown
right,40867,40968,102,Unknown
right,40919,40996,78,Unknown
right,40970,41072,103,Unknown
right,41023,41121,99,Unknown
right,41075,41181,107,Unknown
right,41132,41236,105,Unknown
right,41187,41237,51,Unknown
left,41237,41634,398,Unknown
left,41585,41693,109,Unknown
left,41644,41765,122,Unknown
left,41716,41816,101,Unknown
left,41767,41871,105,Unknown
left,41822,41922,101,Unknown
left,41873,41982,110,Unknown
left,41933,42035,103,Unknown
left,41986,42093,108,Unknown
left,42044,42140,97,Unknown
left,42098,42208,111,Unknown
left,42159,42255,97,Unknown
left,42216,42520,305,Unknown
left,42471,42573,103,Unknown
left,42525,42575,51,Unknown
right,42575,43086,512,1-5
right,43052,43157,106,Unknown
right,43108,43208,101,Unknown
right,43159,43262,104,Unknown
right,43218,43320,103,Unknown
right,43273,43380,108,0-6
right,43340,43455,116,Unknown
right,43411,43511,101,Unknown
right,43464,43571,108,Unknown
right,43522,43572,51,Unknown
left,43572,43978,407,Unknown
left,43929,44042,114,Unknown
left,43993,44094,102,Unknown
left,44045,44095,51,Unknown
right,44095,44185,91,Unknown
right,44157,44264,108,1-5
right,44260,44661,402,Unknown
right,44615,44718,104,Unknown
right,44675,44773,99,Unknown
right,44731,44791,61,Unknown
right,44793,44906,114,Unknown
right,44864,44964,101,Unknown
right,44916,45002,87,1-5
right,44975,45094,120,1-5
right,45050,45153,104,1-5
right,45104,45154,51,1-5
left,45154,45408,255,1-5
left,45359,45460,102,Unknown
left,45411,45514,104,Unknown
left,45465,45569,105,Unknown
left,45529,45634,106,Unknown
left,45585,45685,101,Unknown
left,45636,45747,112,Unknown
left,45698,45748,51,Unknown
right,45748,46307,560,Unknown
right,46260,46364,105,Unknown
right,46315,46396,82,Unknown
right,46368,46453,86,Unknown
right,46455,46512,58,Unknown
right,46514,47171,658,Unknown
right,47124,47237,114,Unknown
right,47190,47290,101,1-5
right,47249,47367,119,Unknown
right,47318,47418,101,Unknown
right,47369,47469,101,Unknown
right,47420,47527,108,Unknown
right,47478,47602,125,Unknown
right,47565,47705,141,Unknown
right,47656,47706,51,Unknown
left,47706,47846,141,1-5
left,47811,47902,92,0-6
left,47871,48277,407,Unknown
left,48228,48305,78,Unknown
left,48281,48448,168,1-5
left,48399,48449,51,1-5
right,48449,48605,157,Unknown
right,48556,48657,102,Unknown
right,48608,48700,93,Unknown
right,48689,48860,172,Unknown
right,48811,48940,130,Unknown
right,48891,48941,51,Unknown
left,48941,49253,313,1-5
left,49256,49451,196,Unknown
left,49402,49452,51,Unknown
right,49452,49575,124,Unknown
right,49526,49635,110,Unknown
right,49589,49680,92,Unknown
right,49642,49744,103,Unknown
right,49709,49814,106,Unknown
right,49765,49898,134,Unknown
right,49850,49954,105,Unknown
right,49905,49956,52,Unknown
left,49956,50459,504,Unknown
left,50410,50517,108,Unknown
left,50468,50570,103,Unknown
left,50523,50822,300,Unknown
left,50773,50875,103,Unknown
left,50829,50931,103,Unknown
left,50882,50996,115,Unknown
left,50949,51010,62,1-5
left,51002,51067,66,0-6
left,51069,51252,184,Unknown
left,51203,51304,102,Unknown
left,51255,51359,105,Unknown
left,51310,51360,51,Unknown
right,51360,51961,602,Unknown
right,51917,52006,90,Unknown
right,51978,52088,111,Unknown
right,52039,52089,51,Unknown
left,52089,52214,126,Unknown
left,52165,52265,101,Unknown
left,52216,52319,104,Unknown
left,52270,52373,104,Unknown
left,52324,52425,102,Unknown
left,52376,52469,94,Unknown
left,52430,52513,84,Unknown
left,52498,53017,520,Unknown
left,52968,53075,108,Unknown
left,53026,53127,102,Unknown
left,53078,53177,100,Unknown
left,53141,53290,150,Unknown
left,53241,53345,105,Unknown
left,53296,53346,51,Unknown
right,53346,53544,199,1-5
right,53495,53555,61,1-5
right,53546,53983,438,Unknown
right,53936,54034,99,Unknown
right,53989,54090,102,Unknown
right,54041,54155,115,Unknown
right,54106,54210,105,Unknown
right,54161,54211,51,Unknown
left,54211,54600,390,Unknown
left,54551,54659,109,Unknown
left,54610,54710,101,Unknown
left,54661,54780,120,Unknown
left,54731,54832,102,Unknown
left,54783,54887,105,Unknown
left,54838,54939,102,Unknown
left,54890,54940,51,Unknown
right,54940,55609,670,Unknown
right,55560,55630,71,Unknown
right,55615,55938,324,Unknown
right,55889,55980,92,Unknown
right,55941,56054,114,1-5
right,56005,56086,82,1-5
right,56091,56379,289,1-5
right,56330,56380,51,1-5
left,56380,56547,168,Unknown
left,56499,56602,104,Unknown
left,56553,56654,102,Unknown
left,56605,56708,104,Unknown
left,56659,56756,98,Unknown
left,56722,56839,118,Unknown
left,56805,57084,280,Unknown
left,57035,57139,105,Unknown
left,57090,57204,115,Unknown
left,57155,57205,51,Unknown
right,57205,57306,102,Unknown
right,57257,57356,100,Unknown
right,57309,57417,109,Unknown
right,57368,57470,103,1-5
right,57421,57694,274,Unknown
right,57645,57741,97,Unknown
right,57696,57772,77,Unknown
right,57750,58020,271,Unknown
right,57971,58079,109,Unknown
right,58030,58133,104,Unknown
right,58087,58195,109,1-5
right,58164,58298,135,Unknown
right,58249,58347,99,Unknown
right,58303,58407,105,Unknown
right,58358,58408,51,Unknown
left,58408,58637,230,0-6
left,58588,58711,124,Unknown
left,58662,58773,112,Unknown
left,58724,58820,97,Unknown
left,58777,58942,166,Unknown
left,58893,58995,103,Unknown
left,58946,58996,51,Unknown
right,58996,59489,494,Unknown
right,59442,59543,102,Unknown
right,59494,59544,51,Unknown
left,59544,59730,187,Unknown
left,59681,59792,112,Unknown
left,59743,59843,101,Unknown
left,59794,59920,127,Unknown
left,59871,59955,85,Unknown
left,59922,60216,295,Unknown
left,60167,60267,101,Unknown
left,60218,60268,51,Unknown
right,60268,60884,617,Unknown
right,60835,60939,105,Unknown
right,60890,60992,103,Unknown
right,60943,61020,78,Unknown
right,60996,61063,68,Unknown
right,61061,61163,103,Unknown
right,61118,61214,97,Unknown
right,61206,61270,65,Unknown
right,61263,61353,91,Unknown
right,61343,61491,149,Unknown
right,61459,61563,105,Unknown
right,61514,61564,51,Unknown
right,61565,61668,104,Unknown
right,61634,61686,53,1-5
right,61690,61788,99,Unknown
right,61760,62181,422,1-5
right,62170,62306,137,1-5
right,62271,62424,154,Unknown
right,62376,62470,95,Unknown
right,62436,62535,100,Unknown
right,62488,62588,101,Unknown
right,62540,62630,91,Unknown
right,62608,62700,93,Unknown
right,62666,62722,57,Unknown
right,62726,62967,242,Unknown
right,62934,63058,125,Unknown
right,63009,63059,51,Unknown
left,63059,63209,151,Unknown
left,63160,63262,103,Unknown
left,63214,63316,103,Unknown
left,63267,63367,101,Unknown
left,63318,63429,112,Unknown
left,63380,63475,96,Unknown
left,63440,64119,680,1-5
left,64097,64257,161,Unknown
left,64208,64309,102,Unknown
left,64260,64372,113,Unknown
left,64323,64430,108,Unknown
left,64381,64431,51,Unknown
right,64431,64845,415,Unknown
right,64798,64900,103,Unknown
right,64852,64906,55,Unknown
right,64912,65303,392,Unknown
right,65269,65384,116,Unknown
right,65335,65434,100,Unknown
right,65386,65472,87,1-5
right,65442,65557,116,Unknown
right,65508,65578,71,Unknown
right,65559,65662,104,Unknown
right,65623,65727,105,0-6
right,65678,65785,108,1-5
right,65736,65786,51,1-5
left,65786,66190,405,1-5
left,66141,66241,101,1-5
left,66192,66297,106,Unknown
left,66248,66298,51,Unknown
right,66298,66422,125,Unknown
right,66373,66469,97,Unknown
right,66424,66524,101,Unknown
right,66476,66577,102,Unknown
right,66528,66646,119,Unknown
right,66597,66700,104,Unknown
right,66651,66701,51,Unknown
left,66701,67063,363,Unknown
left,67014,67113,100,Unknown
left,67065,67171,107,Unknown
left,67122,67217,96,Unknown
left,67175,67274,100,Unknown
left,67253,67385,133,Unknown
left,67336,67440,105,Unknown
left,67391,67496,106,Unknown
left,67447,67550,104,Unknown
left,67501,67590,90,Unknown
left,67553,68083,531,Unknown
left,68035,68135,101,Unknown
left,68087,68207,121,Unknown
left,68158,68208,51,Unknown
right,68208,68308,101,Unknown
right,68281,68387,107,0-6
right,68342,68400,59,0-6
right,68404,69147,744,1-5
right,69149,69385,237,Unknown
right,69336,69398,63,Unknown
right,69388,69647,260,Unknown
right,69600,69703,104,Unknown
right,69654,69735,82,Unknown
right,69708,69768,61,Unknown
right,69767,69873,107,Unknown
right,69837,69940,104,Unknown
right,69891,69941,51,Unknown
left,69941,70256,316,Unknown
left,70207,70308,102,Unknown
left,70259,70367,109,Unknown
left,70318,70423,106,Unknown
left,70374,70488,115,Unknown
left,70440,70492,53,Unknown
right,70492,70574,83,Unknown
